#{"t_start": 1764625737.748926, "env_id": "custom-roundabout-v0"}
r,l,t
-0.3,4,126.459969
4.4,20,126.832908
0.7,5,126.949149
-0.2,5,127.067014
-0.65,3,127.128965
0.75,20,127.624021
0.25,6,127.725553
1.45,20,128.153605
1.65,9,128.33184
1.75,20,128.599882
2.55,8,128.784005
1.15,11,129.031799
0.15,5,129.150376
5.05,20,129.523244
0.65,20,130.022439
-0.75,6,130.158766
-0.45,11,130.377567
1.65,20,130.798853
5.1,20,131.181327
-0.05,3,131.243978
-0.5,6,131.348133
0.35,20,131.71926
3.75,20,132.033223
0.9,20,132.404174
4.95,20,132.907699
1.5,20,133.229232
0.8,8,133.368782
2.35,20,133.80145
0.25,8,133.982681
0.2,6,134.105234
5.15,20,134.41811
1.25,8,134.53024
4.5,20,134.904211
2.45,20,135.282227
2.65,20,135.723858
4.2,20,136.092916
1.45,7,136.238896
1.8,9,136.417172
-0.05,5,136.535534
-0.3,5,136.652891
2.65,9,136.776376
2.5,9,136.984954
0.85,20,137.475448
1.4,20,137.746713
-0.25,7,137.88693
5.0,20,138.204331
1.2,20,138.472556
-0.1,4,138.567776
1.4,8,138.680521
3.1,20,139.053521
0.55,6,139.1738
2.5,20,139.550394
-0.2,3,139.603416
1.25,14,139.830913
3.8,20,140.203474
4.9,20,140.517172
1.35,20,140.88885
-0.25,10,141.083349
-0.7,3,141.135606
2.0,20,141.512831
5.15,20,141.931963
0.6,7,142.095891
2.1,20,142.465553
-0.55,3,142.518275
1.5,14,142.785146
-0.55,9,142.963907
5.05,20,143.337781
-0.15,3,143.410538
1.0,11,143.619057
2.65,20,143.987714
0.5,20,144.258574
0.25,3,144.321435
0.2,10,144.524543
5.0,20,144.898793
-0.45,7,145.019394
-0.15,4,145.114502
1.4,13,145.293111
-0.15,4,145.375147
0.9,20,145.868459
-0.2,4,145.964093
3.9,20,146.344343
-0.55,3,146.406916
-0.6,3,146.469785
0.4,14,146.742234
5.15,20,147.107657
0.65,9,147.309578
-0.5,3,147.381681
4.85,20,147.712897
2.6,20,148.088211
-0.45,10,148.255215
5.15,20,148.677886
1.65,7,148.793549
3.4,20,149.157719
4.45,20,149.569428
-0.2,4,149.675378
4.35,20,150.100818
1.3,9,150.25329
0.2,20,150.621907
1.35,20,151.058751
0.65,20,151.379683
0.25,3,151.441529
-0.45,12,151.676675
0.8,20,152.112941
-0.45,11,152.298744
2.55,8,152.457863
1.3,20,152.776765
3.35,20,153.206927
-0.85,6,153.325544
3.6,20,153.752679
1.65,9,153.957031
-0.25,10,154.095769
-0.3,7,154.21268
0.55,4,154.321851
0.3,3,154.374621
1.4,8,154.529674
0.7,7,154.651189
2.85,20,155.085607
-0.55,3,155.147715
-0.15,7,155.290162
1.8,9,155.46918
0.65,20,155.8471
3.75,20,157.202099
1.75,13,157.448381
4.45,20,157.760216
2.6,9,157.936613
2.0,8,158.117742
4.6,20,158.43518
0.6,6,158.55763
-0.05,5,158.673319
-0.35,11,158.929805
1.2,8,159.087818
0.4,4,159.157807
4.7,20,159.532581
4.85,20,159.897994
-0.3,2,159.941129
5.2,20,160.262751
0.5,13,160.513639
-0.85,6,160.651754
2.55,20,160.975512
5.3,20,161.345497
3.6,20,161.79027
4.55,20,162.103344
1.7,8,162.262327
1.25,8,162.421723
-0.35,4,162.505112
3.65,20,162.877177
-0.85,8,163.01036
-0.6,3,163.082005
1.3,11,163.261844
3.4,20,163.696096
1.8,20,164.196585
1.65,10,164.391018
1.4,7,164.491371
0.8,7,164.612326
1.6,9,164.818684
-0.2,3,164.880289
1.75,10,165.073909
0.0,5,165.174753
4.1,20,165.656087
-0.3,2,165.705609
3.5,20,166.070317
5.0,20,166.489595
-0.65,6,166.574737
-0.2,3,166.637447
4.65,20,167.051548
1.6,9,167.222536
0.4,18,167.62031
-0.1,5,167.736207
4.8,20,168.125956
2.25,20,168.619051
1.6,8,168.730604
-0.45,10,168.929306
5.1,20,169.242308
1.5,9,169.442912
1.65,10,169.634749
1.65,12,169.867091
1.55,20,170.287668
2.55,20,170.658505
1.3,20,171.034825
0.25,3,171.096774
4.75,20,171.524207
-0.1,5,171.60927
-0.2,5,171.694832
4.35,20,172.009813
1.45,20,172.436262
4.05,20,172.744567
-0.7,3,172.788204
0.6,7,172.911215
-0.3,4,172.994676
0.7,6,173.116493
3.75,20,173.453754
1.6,10,173.659764
5.1,20,174.040815
5.05,20,174.420158
0.3,3,174.483362
4.75,20,174.804726
5.1,20,175.234731
5.15,20,175.669336
5.1,20,176.09412
-0.3,8,176.304794
-0.8,6,176.443071
1.8,9,176.649162
4.05,20,176.962067
0.35,5,177.095892
4.85,20,177.36006
4.85,20,177.732623
2.35,11,177.97532
1.65,10,178.160623
1.7,10,178.385081
-0.2,3,178.466162
0.55,20,178.849251
0.8,5,178.953612
4.35,20,179.451245
-0.2,6,179.591695
-0.25,4,179.702053
1.25,20,180.084072
1.05,9,180.262049
-0.3,5,180.364476
2.35,8,180.499719
1.45,10,180.695099
4.95,20,181.067805
0.2,20,181.511493
4.9,20,181.8913
1.15,6,182.010685
0.35,6,182.150802
4.45,20,182.523807
0.75,5,182.638684
1.6,8,182.773978
2.2,9,182.922128
-0.4,5,183.024004
1.55,10,183.24238
-0.1,6,183.362794
1.3,20,183.743841
1.95,20,184.129012
1.7,7,184.311181
0.4,5,184.409159
0.3,7,184.529816
-0.45,8,184.688586
5.1,20,185.065185
1.7,20,185.444987
1.45,8,185.577325
0.0,4,185.673784
0.3,5,185.791023
4.85,20,186.220287
4.35,20,186.543767
-0.55,5,186.644024
0.7,6,186.782179
5.05,20,187.097402
2.55,20,187.529093
1.7,9,187.735906
-0.3,8,187.870918
1.75,20,188.310094
-0.3,2,188.360331
1.45,7,188.503293
2.65,20,188.873777
-0.55,3,188.935724
1.45,8,189.095833
0.95,20,189.475127
-0.8,6,189.577241
4.7,20,189.845317
-0.1,4,189.938844
4.75,20,190.376648
5.15,20,190.801458
1.4,20,191.285218
1.8,9,191.519664
4.65,20,191.943363
4.25,20,192.366565
0.45,4,192.4475
4.95,20,192.869337
0.7,6,192.991787
5.05,20,193.305283
-0.15,3,193.366881
1.3,11,193.576256
0.9,20,193.899803
4.9,20,194.220359
0.45,6,194.340634
-0.05,4,194.434021
1.55,9,194.612588
3.95,20,194.991357
4.4,20,195.363882
0.25,20,195.682015
0.8,20,196.061042
1.7,9,196.26593
-0.05,10,196.492674
0.8,20,196.851447
4.9,20,197.21606
2.55,9,197.421311
0.0,5,197.523154
-0.65,3,197.576017
4.9,20,197.996175
1.8,10,198.21886
3.75,20,198.535828
1.7,9,198.712621
-0.35,4,198.795428
1.15,20,199.163331
5.0,20,199.480973
4.75,20,199.797608
-0.3,2,199.841155
2.8,20,200.16419
0.45,11,200.380896
5.15,20,200.806928
3.15,20,201.121417
1.55,16,201.382444
4.3,20,201.814514
-0.3,8,201.99904
-0.15,10,202.191579
2.25,20,202.565609
2.25,10,202.732122
1.0,20,203.05587
1.5,20,203.48461
-0.2,3,203.556638
2.85,20,203.925999
0.0,8,204.058305
2.15,20,204.433606
-0.15,5,204.535898
2.4,20,204.961075
4.05,20,205.460237
-0.3,5,205.560775
0.25,6,205.719618
0.1,20,206.035203
-0.7,3,206.096863
4.85,20,206.478357
0.15,5,206.580308
1.6,9,206.759738
1.4,10,206.985626
2.0,20,207.302181
-0.2,3,207.373313
-0.35,5,207.458732
2.4,20,207.887626
1.65,9,208.038362
-0.3,7,208.175201
5.05,20,208.553701
-0.6,3,208.615453
5.1,20,208.923767
1.75,11,209.168254
2.65,20,209.554764
1.5,8,209.734805
4.55,20,210.102094
0.25,3,210.154742
3.7,20,210.520378
-0.75,3,210.582252
0.05,5,210.701528
-0.3,4,210.796365
1.45,9,210.973337
4.7,20,211.405625
5.15,20,211.720578
1.8,20,212.1589
1.1,20,212.475042
0.2,8,212.63124
2.55,9,212.783859
5.25,20,213.2173
4.75,20,213.594325
-0.4,4,213.676907
1.05,20,213.99263
-0.55,3,214.063389
1.45,11,214.31085
0.0,3,214.373487
4.65,20,214.752505
-0.05,8,214.886098
1.8,10,215.079117
1.45,8,215.259602
-0.15,7,215.422096
0.7,5,215.524424
-0.4,7,215.660938
-0.55,3,215.72309
-0.05,4,215.817608
4.35,20,216.187414
1.65,10,216.413597
5.15,20,216.783771
-0.35,4,216.853643
1.5,9,216.978638
1.4,10,217.141855
-0.3,4,217.222834
0.85,7,217.38378
0.3,3,217.44506
4.25,20,217.865387
-0.05,5,217.965989
0.7,20,218.395305
0.85,5,218.480413
2.1,11,218.69705
-0.05,9,218.893838
-0.3,2,218.936072
4.2,20,219.305677
0.05,4,219.387964
1.7,9,219.560981
-0.75,6,219.697733
4.4,20,220.010176
1.25,12,220.200133
0.3,3,220.252687
1.95,9,220.457935
-0.35,4,220.551749
-0.55,10,220.77734
-0.1,3,220.830367
1.5,14,221.094325
3.85,20,221.505328
-0.05,5,221.63943
0.25,3,221.710801
-0.05,8,221.86769
-0.55,4,221.948203
-0.2,3,222.019359
3.55,20,222.345126
0.6,20,222.714744
1.6,10,222.905195
1.2,10,223.132507
1.75,11,223.34139
4.95,20,223.713691
-0.1,4,223.795477
0.15,7,223.914865
-0.2,3,223.997315
4.6,20,224.312658
1.7,8,224.446565
0.65,4,224.515198
1.9,9,224.662875
3.95,20,225.032243
1.55,20,225.411044
4.65,20,225.837914
0.25,7,225.957638
0.75,5,226.05892
1.65,7,226.199931
0.8,8,226.383232
3.05,20,226.754117
0.8,5,226.839265
1.25,12,227.031187
-0.55,8,227.190348
2.35,10,227.414406
-0.6,9,227.616314
1.45,8,227.750226
-0.65,3,227.801967
-0.4,5,227.917984
0.9,5,228.018136
-0.25,10,228.219587
1.4,8,228.398176
-0.9,8,228.577315
1.45,11,228.726576
2.55,20,229.101399
3.8,20,229.471456
2.55,12,229.698266
3.95,20,230.065494
0.5,8,230.222735
-0.3,2,230.272125
2.55,20,230.586944
-0.55,4,230.656304
3.6,20,231.090979
3.2,20,231.429921
-0.05,20,231.91355
1.2,8,232.104951
1.3,8,232.302949
5.1,20,232.73475
0.9,20,233.056325
5.2,20,233.555202
-0.15,4,233.649149
0.0,6,233.80809
4.75,20,234.123235
1.65,9,234.248963
-0.55,4,234.344506
2.35,20,234.72203
1.65,8,234.876808
0.5,10,235.079467
5.2,20,235.44015
0.3,3,235.501406
-0.35,4,235.582819
1.95,20,236.010285
-0.1,6,236.130523
-0.7,3,236.192826
1.2,10,236.390327
0.75,9,236.54495
4.65,20,236.974451
-0.05,4,237.070734
-0.15,6,237.170563
2.4,20,237.586288
5.15,20,237.853257
0.85,5,237.925023
4.8,20,238.364165
2.05,9,238.565529
5.25,20,238.999571
3.3,20,239.265186
0.25,20,239.687919
1.6,9,239.863965
4.8,20,240.178933
4.0,20,240.495592
4.85,20,240.812024
1.35,11,241.024957
-0.9,6,241.161109
-0.45,4,241.253847
1.4,8,241.386033
2.45,8,241.542847
3.8,20,241.899216
-0.1,8,242.032315
1.5,12,242.292741
0.2,5,242.426144
0.45,6,242.566807
1.2,11,242.810907
0.15,5,242.929179
1.35,9,243.107113
1.6,9,243.28557
0.35,9,243.412252
2.8,20,243.839171
1.7,10,244.067499
2.5,10,244.296866
-0.1,5,244.397818
1.4,9,244.547656
4.3,20,244.816054
1.35,12,245.085649
4.55,20,245.453746
4.05,20,245.881175
0.9,5,245.981998
1.8,10,246.209188
-0.7,9,246.387372
-0.15,3,246.4409
5.15,20,246.750963
-0.15,11,246.957218
1.6,11,247.108091
-0.05,3,247.170675
1.45,20,247.43765
-0.3,6,247.559095
-0.05,6,247.701626
2.65,20,248.075707
4.95,20,248.500938
1.65,19,248.754543
0.55,20,249.191479
0.5,6,249.333225
2.85,20,249.667774
1.55,8,249.782972
0.2,6,249.869086
-0.75,3,249.932308
